JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Eu/Fe   
995       ROE14b   CS22957-013                2MASS_J23554905-0522528              -2.98   -0.31   
1003      SHE03    Leo2                       ALW_Leo_I_2                          -1.04   0.51    
1005      SHE03    Leo5                       ALW_Leo_I_5                          -1.5    0.51    
1006      FUL00    HIP37335                   BD-01_1792                           -1.24   0.35    
1008      ROE14b   BD-012582                  BD-01_2582                           -2.62   0.36    
1014      BUR00    BD-035215                  BD-03_5215                           -1.2    0.59    
1025      JOH02a   BD-11145                   BD-11_145                            -2.48   0.28    
1033      BAR05    HE1320-1339                BD-13_3695                           -2.78   0.15    
1037      ROE14b   BD-155781                  BD-15_5781                           -2.92   0.12    
1040      BAR05    CS31082-001                BD-16_251                            -2.78   1.65    
1042      HAN12    CS31082-001                BD-16_251                            -2.81   1.52    
1043      HIL02    CS31082-001                BD-16_251                            -2.9    1.62    
1044      HON04    BD-16251                   BD-16_251                            -2.8    1.69    
1051      JOH02a   BD-176036                  BD-17_6036                           -2.75   0.02    
1054      ISH13    BD-180271                  BD-18_271                            -2.58   0.08    
1057      BUR00    BD-185550                  BD-18_5550                           -3.0    -0.01   
1061      MCW95    BD-185550                  BD-18_5550                           -2.89   0.14    
1066      ROE14b   BD-206008                  BD-20_6008                           -3.0    -0.11   
1067      BUR00    BD+012916                  BD+01_2916                           -1.8    0.45    
1080      IVA03    G84-29a                    BD+03_740                            -2.98   2.84    
1082      LAI08    G84-29                     BD+03_740                            -2.7    <0.68   
1089      JOH02a   BD+042621                  BD+04_2621                           -2.5    -0.63   
1091      JOH02a   BD+053098                  BD+05_3098                           -2.72   0.22    
1092      BUR00    BD+06648                   BD+06_648                            -2.0    0.18    
1093      HAN12    BD+082856                  BD+08_2856                           -2.09   0.4     
1094      JOH02a   BD+082856                  BD+08_2856                           -2.1    0.42    
1100      ISH13    G41-41                     BD+09_2190                           -2.63   0.75    
1104      FUL00    HIP48146                   BD+09_2242                           -0.03   0.17    
1105      BUR00    BD+092870                  BD+09_2870                           -2.2    -0.43   
1110      BUR00    BD+093223                  BD+09_3223                           -2.2    0.35    
1111      JOH02a   BD+093223                  BD+09_3223                           -2.27   0.12    
1115      JOH02a   BD+102495                  BD+10_2495                           -2.06   0.22    
1116      ROE10    BD+102495                  BD+10_2495                           -2.31   0.1     
1117      ROE14b   BD+102495                  BD+10_2495                           -2.16   0.3     
1119      BUR00    BD+112998                  BD+11_2998                           -1.2    0.08    
1122      FUL00    HIP66665                   BD+13_2698                           -0.95   0.05    
1127      BUR00    BD+173248                  BD+17_3248                           -1.8    0.73    
1128      CAY04    BD+173248                  BD+17_3248                           -2.04   0.89    
1129      COW02    BD+173248                  BD+17_3248                           -2.06   0.87    
1130      JOH02a   BD+173248                  BD+17_3248                           -2.09   0.77    
1138      JOH02a   BD+182890                  BD+18_2890                           -1.71   0.39    
1148      FUL00    HIP106947                  BD+22_4454                           -0.62   0.6     
1151      LAI08    G170-47                    BD+23_3130                           -2.57   0.25    
1152      ROE14b   BD+233130                  BD+23_3130                           -2.93   -0.07   
1157      IVA03    BD+241676                  BD+24_1676                           -2.5    <1.97   
1158      LAI08    BD+241676                  BD+24_1676                           -2.62   <0.6    
1160      ROE14b   BD+241676                  BD+24_1676                           -2.7    <0.61   
1161      FUL00    HIP57265                   BD+26_2251                           -1.08   0.45    
1164      FUL00    HIP72461                   BD+26_2606                           -2.46   -0.03   
1171      FUL00    HIP52771                   BD+29_2091b                          -1.96   -0.03   
1173      BUR00    BD+302611                  BD+30_2611                           -1.4    0.35    
1174      FUL00    HIP73960                   BD+30_2611                           -1.35   0.66    
1175      FUL00    HIP63970                   BD+33_2300                           -0.07   -0.09   
1176      FUL00    HIP115610                  BD+33_4707                           -0.61   0.39    
1185      FUL00    HIP78640                   BD+42_2667                           -1.46   0.41    
1187      HAN12    BD+42621                   BD+42_621                            -2.48   0.53    
1195      FUL00    HIP22246                   BD+45_983                            -0.36   0.54    
1198      FUL00    HIP40068                   BD+80_245                            -2.03   -1.07   
1199      IVA03    G251-54                    BD+80_245                            -2.09   <0.56   
1200      ROE14b   BD+80245                   BD+80_245                            -2.04   <-0.2   
1202      LAI08    BS16077-007                BPS_BS_16077-0007                    -2.71   <0.69   
1223      ROE14b   CS22169-008                BPS_CS_22169-0008                    -2.85   <1.15   
1224      ROE14b   CS22171-031                BPS_CS_22171-0031                    -2.54   <0.67   
1228      ROE14b   CS22177-010                BPS_CS_22177-0010                    -3.0    <1.16   
1231      PRE06    CS22191-029                BPS_CS_22191-0029                    -2.71   0.54    
1232      ROE14b   CS22191-029                BPS_CS_22191-0029                    -2.94   0.37    
1233      MCW95    CS22783-055                BPS_CS_22783-0055                    -2.86   -0.15   
1234      ROE14b   CS22871-104                BPS_CS_22871-0104                    -2.2    <1.03   
1235      LAI08    CS22872-0102               BPS_CS_22872-0102                    -2.86   <0.94   
1236      ROE14b   CS22872-102                BPS_CS_22872-0102                    -2.85   <1.01   
1241      CAY04    CS22873-0166               BPS_CS_22873-0166                    -2.92   <-0.36  
1246      ROE14b   CS22874-123                BPS_CS_22874-0123                    -2.79   <1.41   
1247      PRE06    CS22875-029                BPS_CS_22875-0029                    -2.65   1.07    
1248      ROE14b   CS22875-029                BPS_CS_22875-0029                    -2.71   0.94    
1249      ROE14e   CS22875-029                BPS_CS_22875-0029                    -2.69   0.91    
1252      ROE14b   CS22877-015                BPS_CS_22877-0015                    -2.12   0.85    
1254      ROE14b   CS22878-002                BPS_CS_22878-0002                    -2.97   <1.13   
1255      LAI08    CS22878-027                BPS_CS_22878-0027                    -2.47   <0.95   
1256      ROE14b   CS22878-027                BPS_CS_22878-0027                    -2.92   <1.07   
1258      ROE14b   CS22879-029                BPS_CS_22879-0029                    -2.55   0.59    
1261      PRE06    CS22879-097                BPS_CS_22879-0097                    -2.43   0.21    
1262      ROE14b   CS22879-097                BPS_CS_22879-0097                    -2.66   <0.44   
1263      PRE06    CS22879-103                BPS_CS_22879-0103                    -2.08   0.42    
1264      ROE14b   CS22879-103                BPS_CS_22879-0103                    -2.16   0.3     
1268      LAI08    CS22880-086                BPS_CS_22880-0086                    -3.0    <0.18   
1273      ROE14b   CS22881-039                BPS_CS_22881-0039                    -2.79   <0.99   
1274      ROE14b   CS22881-070                BPS_CS_22881-0070                    -2.96   <1.06   
1275      PRE06    CS22883-037                BPS_CS_22883-0037                    -1.89   0.38    
1276      ROE14b   CS22884-020                BPS_CS_22884-0020                    -2.48   <0.94   
1278      ROE14b   CS22885-040                BPS_CS_22885-0040                    -2.78   <1.16   
1280      ROE14b   CS22885-203                BPS_CS_22885-0203                    -2.73   <1.01   
1281      ROE14b   CS22886-012                BPS_CS_22886-0012                    -2.88   1.12    
1282      ROE14e   CS22886-012                BPS_CS_22886-0012                    -2.61   0.84    
1287      PRE06    CS22888-047                BPS_CS_22888-0047                    -2.37   1.0     
1288      ROE14b   CS22888-047                BPS_CS_22888-0047                    -2.54   0.86    
1289      ROE14e   CS22888-047                BPS_CS_22888-0047                    -2.54   0.85    
1291      ROE14b   CS22890-011                BPS_CS_22890-0011                    -2.68   <1.03   
1294      ROE14b   CS22892-025                BPS_CS_22892-0025                    -2.78   <1.09   
1296      ROE14b   CS22893-005                BPS_CS_22893-0005                    -2.99   <0.56   
1300      ROE14b   CS22893-011                BPS_CS_22893-0011                    -2.4    <0.81   
1301      ROE14b   CS22894-004                BPS_CS_22894-0004                    -2.96   <1.25   
1302      ROE14b   CS22894-019                BPS_CS_22894-0019                    -2.98   <1.11   
1304      ROE14b   CS22894-049                BPS_CS_22894-0049                    -2.84   <1.1    
1305      ROE14b   CS22896-015                BPS_CS_22896-0015                    -2.85   0.19    
1306      ROE14b   CS22896-055                BPS_CS_22896-0055                    -2.52   0.47    
1307      PRE06    CS22896-110                BPS_CS_22896-0110                    -2.69   0.08    
1308      ROE14b   CS22896-110                BPS_CS_22896-0110                    -2.85   0.04    
1309      ROE14b   CS22896-115                BPS_CS_22896-0115                    -2.82   <0.77   
1310      ROE14b   CS22896-136                BPS_CS_22896-0136                    -2.41   0.81    
1314      ROE14b   CS22898-043                BPS_CS_22898-0043                    -2.83   <0.73   
1317      PRE06    CS22940-077                BPS_CS_22940-0077                    -2.93   -0.03   
1319      PRE06    CS22940-121                BPS_CS_22940-0121                    -2.89   0.58    
1322      PRE06    CS22941-027                BPS_CS_22941-0027                    -2.36   -0.03   
