JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Mg/Fe  
458       BAR05    HE1221-1948                2MASS_J12234774-2004459              -3.36   0.78   
460       BAR05    HE1221-0522                2MASS_J12240770-0539112              -2.84   0.43   
461       BAR05    HE1222-0336                2MASS_J12245239-0353061              -2.04   0.07   
462       BAR05    HE1222-0200                2MASS_J12252937-0217235              -2.44   0.15   
466       BAR05    HE1225+0155                2MASS_J12280475+0138329              -2.75   0.45   
468       BAR05    HE1225-0515                2MASS_J12281241-0531404              -1.96   0.16   
469       BAR05    HE1230-1724                2MASS_J12325705-1741270              -2.3    0.2    
470       BAR05    HE1237-3103                2MASS_J12401463-3120085              -2.91   0.19   
471       BAR05    2MASSJ12462807-1441335     2MASS_J12462807-1441335              -2.67   0.2    
476       BAR05    HE1246-1344                2MASS_J12492024-1400415              -3.4    0.48   
478       BAR05    HE1247-2114                2MASS_J12500511-2130473              -2.61   0.22   
480       BAR05    HE1248-1800                2MASS_J12512795-1816300              -2.89   0.24   
481       BAR05    HE1249-3121                2MASS_J12520513-3137449              -3.23   0.24   
482       BAR05    HE1249-2932                2MASS_J12521835-2948567              -2.65   0.08   
483       BAR05    HE1251-0104                2MASS_J12535206-0120353              -2.73   0.04   
485       BAR05    HE1252-0117                2MASS_J12545984-0133349              -2.86   0.12   
486       BAR05    HE1252+0044                2MASS_J12552210+0028011              -3.28   0.49   
487       BAR05    HE1254+0009                2MASS_J12571291-0006394              -2.95   0.24   
488       BAR05    HE1256-0228                2MASS_J12583845-0244175              -2.08   0.25   
489       BAR05    HE1256-0651                2MASS_J12591309-0707191              -2.35   0.19   
491       BAR05    HE1259-0621                2MASS_J13015111-0637140              -2.64   0.3    
492       BAR05    HE1300-2431                2MASS_J13030004-2447122              -3.25   0.38   
494       BAR05    HE1300-2201                2MASS_J13031731-2217379              -2.6    0.27   
495       BAR05    HE1300-0642                2MASS_J13032340-0658232              -3.02   0.24   
500       BAR05    HE1300-0641                2MASS_J13033414-0657207              -3.14   0.02   
508       BAR05    HE1311-1412                2MASS_J13134199-1428246              -2.88   0.24   
512       ROE14b   CS22877-001                2MASS_J13135537-1211415              -3.31   0.38   
515       BAR05    HE1314-3036                2MASS_J13172923-3051507              -2.98   0.3    
518       AOK07a   HE1319-1935                2MASS_J13223870-1951116              -1.79   0.45   
523       BAR05    HE1330-0607                2MASS_J13325658-0622304              -2.33   0.08   
524       BAR05    HE1330-0354                2MASS_J13331067-0410057              -2.29   0.3    
526       BAR05    HE1332-0309                2MASS_J13343788-0324529              -2.46   0.11   
528       BAR05    HE1333-0340                2MASS_J13355142-0355484              -2.64   0.22   
529       BAR05    HE1335+0135                2MASS_J13375386+0120270              -2.47   0.26   
530       BAR05    HE1337-0453                2MASS_J13395820-0508313              -2.34   0.36   
532       BAR05    HE1343-0640                2MASS_J13460903-0655464              -1.9    0.35   
535       BAR05    HE1345-0206                2MASS_J13481600-0221469              -2.82   0.09   
537       BAR05    HE1351-1049                2MASS_J13535712-1104245              -3.45   0.28   
539       FRE16    Boo-980                    2MASS_J13591264+1342557              -3.06   0.29   
541       ISH14    Boo-9                      2MASS_J13594880+1419430              -2.64   0.13   
543       ISH14    Boo-911                    2MASS_J14000107+1436515              -2.16   0.35   
544       GIL13    boo-119                    2MASS_J14000985+1428228              -3.44   1.14   
